Source,Critical Mineral,Primary Applications,Primary Application Collapsed,Category_Note

MCS2023,Aluminum,Metallugical applications but also many sectors of the economy.,Metallurgy,

MCS2023,Antimony,Flame retardants and lead-acid batteries.,"Energy, Batteries, & Fuel",

MCS2023,Arsenic,Semiconductor applications.,"Energy, Batteries, & Fuel",

MCS2023,Barite,Hydrocarbon production applications.,"Energy, Batteries, & Fuel",

MCS2023,Beryllium,Aerospace and defense applications.,Aerospace,

MCS2023,Bismuth,Medical and netallugical applications and atomic research.,Medical,

MCS2023,Cerium,"Catalytic converters, ceramics, glass, metallurgy and polishing compound applications.","Energy, Batteries, & Fuel",Included in the Rare Earths chapter in this publication.

MCS2023,Cesium,Hydrocarbon production applications and research and development.,"Energy, Batteries, & Fuel",

MCS2023,Chromium,Metallugical applications.,Metallurgy,

MCS2023,Cobalt,Battery and metallurgical applications.,"Energy, Batteries, & Fuel",

MCS2023,Dysprosium,"Data storage devices, laser applications, and permanent magnets.",Electronics & Communication,Included in the Rare Earths chapter in this publication.

MCS2023,Erbium,"Fiber optics, glass colorant applications, laser, and optical amplifiers.",Electronics & Communication,Included in the Rare Earths chapter in this publication.

MCS2023,Europium,Nuclear control rods and phophors applications.,Nuclear,Included in the Rare Earths chapter in this publication.

MCS2023,Fluorspar,"Cement, industrial chemical, and metallurgical applications.",Industrial & Chemical,

MCS2023,Gadolinium,"Medical imaging, metallurgical applications and permanent magnets.",Medical,Included in the Rare Earths chapter in this publication.

MCS2023,Gallium,Integrated circuits and optical device applications.,Electronics & Communication,

MCS2023,Germanium,Defense and fiber optics applications.,Electronics & Communication,

MCS2023,Graphite,"Battery, fuel cells, and lubricant applications.","Energy, Batteries, & Fuel",

MCS2023,Hafnium,"Ceramics, nuclear control rod and metallurgical applications.",Nuclear,

MCS2023,Holmium,"Lasers, nuclear applications, and permanent magnets.",Nuclear,Included in the Rare Earths chapter in this publication.

MCS2023,Indium,Liquid crystal display applications.,Industrial & Chemical,

MCS2023,Iridium,Anode coatings for electrochemical processes and chemical catalyst applications.,"Energy, Batteries, & Fuel",Included in the Platinum-Group Metals chapter in this publication.

MCS2023,Lanthanum,"Battery, catalyst, ceramics, glass, and metallurgical applications.","Energy, Batteries, & Fuel",Included in the Rare Earths chapter in this publication.

MCS2023,Lithium,Battery applications.,"Energy, Batteries, & Fuel",

MCS2023,Lutetium,"Cancer therapies, electronics and medical imaging applications.",Medical,Included in the Rare Earths chapter in this publication.

MCS2023,Magnesium,Metallurgical applications.,Metallurgy,

MCS2023,Manganese,Battery and metallurgical applications.,"Energy, Batteries, & Fuel",

MCS2023,Neodymium,"Catalysts, laser applications and permanent magnets.",Industrial & Chemical,Included in the Rare Earths chapter in this publication.

MCS2023,Nickel,Battery and metallurgical applications.,"Energy, Batteries, & Fuel",

MCS2023,Niobium,Metallurgical applications.,Metallurgy,

MCS2023,Palladium,Catalytic converters and catalyst applications.,"Energy, Batteries, & Fuel",Included in the Platinum-Group Metals chapter in this publication.

MCS2023,Platinum,Catalytic converters applications.,"Energy, Batteries, & Fuel",Included in the Platinum-Group Metals chapter in this publication.

MCS2023,Praseodymium,"Aerspace alloys, batteries, ceramics, and permanent magnet applications.",Aerospace,Included in the Rare Earths chapter in this publication.

MCS2023,Rhodium,"Catalytic converters, catalyst, and electrical component applications.","Energy, Batteries, & Fuel",Included in the Platinum-Group Metals chapter in this publication.

MCS2023,Rubidium,Electronic research and development applications.,Electronics & Communication,

MCS2023,Ruthenium,Catalyst and electronic and computer chip applications.,Electronics & Communication,Included in the Platinum-Group Metals chapter in this publication.

MCS2023,Samarium,"Cancer treatments, nuclear, and permanent magnet applications.",Medical,Included in the Rare Earths chapter in this publication.

MCS2023,Scandium,"Ceramics, fuel cells, and metallurgical applications.","Energy, Batteries, & Fuel",

MCS2023,Tantalum,Capacitors and metallurgical applications.,Electronics & Communication,

MCS2023,Tellurium,"Metallurgical applications, Solar cells, and thermoelectric devices.","Energy, Batteries, & Fuel",

MCS2023,Terbium,"Fiber optics, lasers, permanent magnets,  and solid state device applications.",Electronics & Communication,Included in the Rare Earths chapter in this publication.

MCS2023,Thulium,Laser and metallurgical applications.,Metallurgy,Included in the Rare Earths chapter in this publication.

MCS2023,Tin,Metallurgical applications.,Metallurgy,

MCS2023,Titanium,Metallurgical and pigment applications.,Metallurgy,

MCS2023,Tungsten,Metallurgical applications.,Metallurgy,

MCS2023,Vanadium,Battery and metallurgical applications.,"Energy, Batteries, & Fuel",

MCS2023,Ytterbium ,"Catalyst, laser, metallurgical, and scintillator applications.",Industrial & Chemical,Included in the Rare Earths chapter in this publication.

MCS2023,Yttrium,"Catalyst, ceramics, laser, metallurgical, and phosphors applications.",Industrial & Chemical,

MCS2023,Zinc,Metallurgical applications.,Metallurgy,

MCS2023,Zirconium,Metallurgical and nuclear applications.,Nuclear,

,"ABRASIVES, crude fused aluminum oxide",,Industrial & Chemical,

,"ABRASIVES, crude silicon carbide",,"Energy, Batteries, & Fuel",

,ASBESTOS,,Industrial & Chemical,

,BAUXITE,,Metallurgy,

,BROMINE,,Agriculture,

,CADMIUM,,"Energy, Batteries, & Fuel",

,CEMENT,,Industrial & Chemical,

,COPPER,,Electronics & Communication,

,DIAMOND,,Industrial & Chemical,

,FELDSPAR,,Industrial & Chemical,

,GARNET,,Industrial & Chemical,

,GEMSTONES,,Industrial & Chemical,

,IODINE,,Medical,

,IRON OXIDE PIGMENTS,,Industrial & Chemical,

,LEAD,,Industrial & Chemical,

,MICA,,Electronics & Communication,

,NEPHELINE SYENITE,,Industrial & Chemical,

,PEAT,,Agriculture,

,PERLITE,,Agriculture,

,POTASH,,Agriculture,

,RARE EARTHS,,Electronics & Communication,

,RHENIUM,,Medical,

,SALT,,Industrial & Chemical,

,SELENIUM,,Industrial & Chemical,

,SILVER,,Industrial & Chemical,

,STONE,,Industrial & Chemical,

,STRONTIUM,,Industrial & Chemical,

,VERMICULITE,,Agriculture,

,SILICON,,Industrial & Chemical,