Source,Import_Share_Rank,Commodity,Net_Import_Reliance_pct_2022,Major_Import_Sources_2018_2021

MCS2023,33,ABRASIVES;crude fused aluminum oxide,75,China;Canada;Brazil;Austria

MCS2023,29,ABRASIVES;crude silicon carbide,79,China;Brazil;Netherlands;South Africa 

MCS2023,42,ALUMINUM,59,Brazil;Australia;Jamaica;Canada;United Arab Emirates;Russia;China

MCS2023,24,ANTIMONY,83,China;Belgium;India  

MCS2023,1,ARSENIC,100,China;Morocco;Belgium

MCS2023,2,ASBESTOS,100,Brazil;Russia

MCS2023,34,BARITE,75,China;India;Morocco;Mexico

MCS2023,35,BAUXITE,75,Jamaica;Brazil;Guyana;Australia

MCS2023,17,BISMUTH,96,China;Republic of Korea;Mexico;Belgium

MCS2023,61,BROMINE,24,Israel;Jordan;China

MCS2023,62,CADMIUM,24,Australia;Germany;China;Peru

MCS2023,64,CEMENT,21,Canada;Turkey;Greece;Mexico

MCS2023,3,CESIUM,100,Germany

MCS2023,28,CHROMIUM,80,South Africa;Kazakhstan;Russia;Mexico

MCS2023,31,COBALT,76,Norway;Canada;Finland;Japan

MCS2023,55,COPPER,41,Chile;Canada;Mexico

MCS2023,22,DIAMOND,89,South Africa;Congo (Kinshasa);India;Sierra Leone;China;Republic of Korea;Ireland;Russia

MCS2023,56,FELDSPAR,39,Turkey;Mexico

MCS2023,4,FLUORSPAR,100,Mexico;Vietnam;South Africa;Canada

MCS2023,5,GALLIUM,100,China;Germany;Japan;Ukraine

MCS2023,37,GARNET,69,South Africa;China;India;Australia

MCS2023,16,GEMSTONES,99,India;Israel;Belgium;South Africa

MCS2023,47,GERMANIUM,51,China;Belgium;Germany;Russia

MCS2023,6,GRAPHITE,100,China;Mexico;Canada;Madagascar

MCS2023,7,INDIUM,100,Republic of Korea;Canada;China;France

MCS2023,48,IODINE,51,Chile;Japan

MCS2023,23,IRON OXIDE PIGMENTS,87,China;Germany;Brazil;Canada

MCS2023,54,LEAD,42,Canada;Mexico;Republic of Korea

MCS2023,60,LITHIUM,24,Argentina;Chile;China;Russia

MCS2023,46,MAGNESIUM,53,China;Israel;Canada;Brazil;Israel;Mexico

MCS2023,8,MANGANESE,100,Gabon;South Africa;Australia;Georgia

MCS2023,9,MICA,100,China;Brazil;Belgium;Austria;Canada;China;India 

MCS2023,18,NEPHELINE SYENITE,95,Canada

MCS2023,43,NICKEL,56,Canada;Norway;Australia;Finland

MCS2023,10,NIOBIUM,100,Brazil;Canada

MCS2023,59,PALLADIUM,26,Russia;South Africa;Germany;Italy

MCS2023,25,PEAT,82,Canada

MCS2023,58,PERLITE,28,Greece;China;Mexico

MCS2023,40,PLATINUM,66,South Africa;Germany;Switzerland;Italy

MCS2023,21,POTASH,94,Canada;Russia;Belarus

MCS2023,19,RARE EARTHS,95,China;Estonia;Malaysia;Japan

MCS2023,38,RHENIUM,69,Chile;Canada;Germany;Kazakhstan

MCS2023,11,RUBIDIUM,100,Germany

MCS2023,57,SALT,29,Chile;Canada;Mexico;Egypt

MCS2023,12,SCANDIUM,100,Europe;China;Japan;Philippines

MCS2023,50,SELENIUM,51,Philippines;China;Mexico;Germany

MCS2023,53,SILICON,45,Russia;Brazil;Canada;Norway

MCS2023,39,SILVER,69,Mexico;Canada;Poland;Chile

MCS2023,26,STONE,82,Brazil;China;Italy;India

MCS2023,13,STRONTIUM,100,Mexico;Germany;China

MCS2023,14,TANTALUM,100,China;Germany;Australia;Indonesia

MCS2023,36,TELLURIUM,75,Canada;Germany;China;Philippines

MCS2023,30,TIN,77,Peru;Indonesia;Bolivia;Malaysia

MCS2023,20,TITANIUM,95,Japan;Kazakhstan;Ukraine;South Africa;Australia;Madagascar;Canada

MCS2023,51,TUNGSTEN,51,China;Bolivia;Germany;Canada

MCS2023,45,VANADIUM,54,Canada;China;Brazil;South Africa

MCS2023,65,VERMICULITE,20,South Africa;Brazil

MCS2023,15,YTTRIUM,100,China;Germany;Republic of Korea;Japan

MCS2023,32,ZINC,76,Canada;Mexico;Peru;Spain

MCS2023,52,ZIRCONIUM,49,South Africa;Senegal;Australia;Russia